Point,Neighbor,Distance
95,67,0.053753559052260605
95,28,0.10591823842905407
95,69,0.11068755670540842
96,81,0.1134366802731682
96,78,0.024829550927640155
96,36,0.02983069744622624
96,19,0.05336266775675849
96,51,0.07210938351178318
97,76,0.08591492786353498
97,66,0.052044501853449006
97,57,0.07242522224180802
97,32,0.08403801679007833
97,15,0.10613128896742946
98,59,0.1132258818860499
98,82,0.047038763659515086
98,72,0.06529750624790445
98,63,0.09848133734846568
98,77,0.10143862137341136
99,47,0.1153631958329564
99,94,0.04719547972568298
99,67,0.04788151301031996
99,69,0.0673804864953
99,42,0.08388398475603925
100,28,0.10693616372233301
100,44,0.09232452156369327
100,64,0.10802197443367573
100,86,0.10903373117642474
100,49,0.11992656835231201
